,ID,Name,Frequency [MHz],Bandwidth [kHz]/Baud,Status,Description,Source,Orbit
106,54254,2022-155D,None,None,Active,None,CelesTrak,LEO
107,54255,2022-155E,None,None,Active,None,CelesTrak,LEO
108,54362,2022-158B,None,None,Active,None,CelesTrak,LEO
109,54588,2022-164A,None,None,Active,None,CelesTrak,MEO
110,54682,2022-167A,None,None,Active,None,CelesTrak,LEO
111,54683,2022-167B,None,None,Active,None,CelesTrak,LEO
112,54685,2022-167D,None,None,Active,None,CelesTrak,LEO
113,54686,2022-167E,None,None,Active,None,CelesTrak,LEO
114,54687,2022-167F,None,None,Active,None,CelesTrak,LEO
115,54688,2022-167G,None,None,Active,None,CelesTrak,LEO
116,54689,2022-167H,None,None,Active,None,CelesTrak,LEO
117,54690,2022-167J,None,None,Active,None,CelesTrak,LEO
118,54691,2022-167K,None,None,Active,None,CelesTrak,LEO
119,54692,2022-167L,None,None,Active,None,CelesTrak,LEO
120,54693,2022-167M,None,None,Active,None,CelesTrak,LEO
121,54694,2022-167N,None,None,Active,None,CelesTrak,LEO
122,54695,2022-167P,None,None,Active,None,CelesTrak,LEO
123,55133,2023-003A,None,None,Active,None,CelesTrak,LEO
124,55134,2023-003B,None,None,Active,None,CelesTrak,LEO
125,55135,2023-003C,None,None,Active,None,CelesTrak,LEO
126,55136,2023-003D,None,None,Active,None,CelesTrak,LEO
127,55137,2023-003E,None,None,Active,None,CelesTrak,LEO
128,55248,2023-007A,None,None,Active,None,CelesTrak,LEO
129,55249,2023-007B,None,None,Active,None,CelesTrak,LEO
130,55250,2023-007C,None,None,Active,None,CelesTrak,LEO
131,55251,2023-007D,None,None,Active,None,CelesTrak,LEO
132,55252,2023-007E,None,None,Active,None,CelesTrak,LEO
133,55253,2023-007F,None,None,Active,None,CelesTrak,LEO
134,55254,2023-007G,None,None,Active,None,CelesTrak,LEO
135,55255,2023-007H,None,None,Active,None,CelesTrak,LEO
136,55256,2023-007J,None,None,Active,None,CelesTrak,LEO
